essayid_sql,total_word_count,avg_word_length,avg_sentence_length,TTR,stop_word_count,unique_word_count,rare_word_count,avg_sentence_length,avg_parse_tree_depth,parse_tree_depth_variation,avg_adjectives_per_sentence,avg_adverbs_per_sentence,avg_verbs_per_sentence,avg_nouns_per_sentence,unknown,flesch_reading_ease,flesch_kincaid_grade_level,smog_index,sentiment_polarity,sentiment.subjectivity,perplexity
11,373,4.394101877,14.77272727,0.584450402,142,171,171,16.72727273,4.272727273,1.420045396,1.363636364,1,3.227272727,4.181818182,5,65.01,8,10.9,-0.00043514,0.53680624,152.0313947
12,435,4.117241379,15.68,0.388505747,198,91,91,16.30769231,4.423076923,1.305994373,1.44,1.28,3.36,4.24,1,72.46,8,11.5,0.040025253,0.521338384,81.59437697
13,211,3.81042654,34,0.587677725,105,89,89,35.5,5.333333333,1.374368542,3,0.833333333,7.166666667,7.166666667,1,62.35,15,11.5,0.061363636,0.377878788,91.2107661
14,332,3.948795181,12.28,0.406626506,136,67,67,13.28,4.28,0.917387595,1.44,0.44,2.2,3.24,0,84.37,7,9.7,0.135383244,0.467780749,194.1374999
15,197,4.14213198,13.53846154,0.517766497,79,62,62,15.30769231,4.615384615,2.167538893,1.230769231,0.615384615,2.307692308,4.230769231,0,74.69,7,10,0.14869146,0.491253444,68.33200734
16,605,4.368595041,15.08571429,0.438016529,223,176,176,16.97142857,4.428571429,1.202039084,1.171428571,0.6,2.828571429,5,2,64.61,8,11.2,0.252717653,0.474905518,113.5585472
17,385,3.818181818,18.61111111,0.394805195,195,93,93,21.27777778,4.833333333,1.67497927,0.833333333,1.555555556,3.833333333,3.833333333,0,77.98,9,11.2,0.086159674,0.376987179,63.30333443
18,420,3.795238095,24.4,0.423809524,203,110,110,26.125,5.1875,2.127755566,1.4,2.8,5.333333333,5.066666667,1,72.09,7,11.5,0.160165143,0.451256614,89.13747686
19,72,4.125,9.428571429,0.75,24,45,45,9,2.625,0.856956825,0.857142857,0.142857143,2,3.428571429,0,87.31,7,8,0.418181818,0.55,30.77266176
20,181,3.939226519,14.18181818,0.55801105,69,63,63,16.09090909,5.181818182,3.157046428,1.545454545,0.636363636,2.454545455,4.727272727,0,73.98,8,10.2,0.084752822,0.613263522,83.26882845
21,405,4.155555556,18.35,0.481481481,185,136,136,20.15,5.3,1.646207763,1.25,1.8,3.7,4.45,3,69.72,9,11.6,0.150041126,0.483724387,94.59409471
22,59,4.440677966,28,0.677966102,25,29,29,29,7,0,1,0,4,10.5,0,59.98,10,0,-0.0625,0.1875,72.65581997
23,593,3.976391231,17.36666667,0.399662732,267,142,142,19.1,5.466666667,1.857118437,1.233333333,0.766666667,3.266666667,4.7,0,70.73,8,10.1,0.245698925,0.417741935,128.9137406
24,673,3.959881129,14.33333333,0.395245171,261,162,162,17.71052632,4.342105263,2.093552958,1.461538462,0.897435897,2.743589744,3.846153846,1,73.47,8,10.1,0.213292867,0.431688782,91.24776673
25,325,4.249230769,18.3125,0.415384615,145,75,75,20.25,5.4375,1.498697351,1.25,0.6875,3.875,4.9375,0,69.82,9,11.5,0.212810646,0.461632195,72.00154661
26,429,3.843822844,16.36363636,0.41958042,181,104,104,17.95652174,4.347826087,1.902142857,1.272727273,0.590909091,3.545454545,4.818181818,1,72.46,8,10,0.242953431,0.451960784,85.88753725
27,142,3.73943662,17.14285714,0.521126761,62,41,41,19,5.428571429,1.049781318,1.714285714,0.857142857,3.285714286,5.142857143,0,79.5,7,9.6,0.022222222,0.548148148,111.7981908
28,407,4.144963145,12.85714286,0.484029484,158,123,123,14.03448276,3.793103448,1.269789837,1.107142857,0.75,2.678571429,3.392857143,1,75.81,7,9.4,0.091337181,0.376093074,119.9610163
29,432,3.916666667,16.13043478,0.407407407,202,113,113,18.73913043,5.043478261,2.074236599,1.347826087,0.956521739,3.217391304,3.956521739,1,72.05,8,9.9,0.387985886,0.582580267,94.0326282
30,285,4.087719298,17.13333333,0.442105263,123,70,70,19.13333333,5.2,1.904380914,1.266666667,1.066666667,4.666666667,4,1,71.04,9,11.1,0.139285714,0.401190476,87.66529436
